FlightNumber,PayloadMass,Flights,GridFins,Reused,Legs,Block,ReusedCount,Orbit:ES-L1,Orbit:GEO,Orbit:GTO,Orbit:HEO,Orbit:ISS,Orbit:LEO,Orbit:MEO,Orbit:PO,Orbit:SO,Orbit:SSO,Orbit:VLEO,LaunchSite:CCAFS SLC 40,LaunchSite:KSC LC 39A,LaunchSite:VAFB SLC 4E,LandingPad:5e9e3032383ecb267a34e7c7,LandingPad:5e9e3032383ecb554034e7c9,LandingPad:5e9e3032383ecb6bb234e7ca,LandingPad:5e9e3032383ecb761634e7cb,LandingPad:5e9e3033383ecbb9e534e7cc,Serial:B0003,Serial:B0005,Serial:B0007,Serial:B1003,Serial:B1004,Serial:B1005,Serial:B1006,Serial:B1007,Serial:B1008,Serial:B1010,Serial:B1011,Serial:B1012,Serial:B1013,Serial:B1015,Serial:B1016,Serial:B1017,Serial:B1018,Serial:B1019,Serial:B1020,Serial:B1021,Serial:B1022,Serial:B1023,Serial:B1025,Serial:B1026,Serial:B1028,Serial:B1029,Serial:B1030,Serial:B1031,Serial:B1032,Serial:B1034,Serial:B1035,Serial:B1036,Serial:B1037,Serial:B1038,Serial:B1039,Serial:B1040,Serial:B1041,Serial:B1042,Serial:B1043,Serial:B1044,Serial:B1045,Serial:B1046,Serial:B1047,Serial:B1048,Serial:B1049,Serial:B1050,Serial:B1051,Serial:B1054,Serial:B1056,Serial:B1058,Serial:B1059,Serial:B1060,Serial:B1062
1,6104.959411764706,1,False,False,False,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,525.0,1,False,False,False,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,677.0,1,False,False,False,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,500.0,1,False,False,False,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3170.0,1,False,False,False,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3325.0,1,False,False,False,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2296.0,1,False,False,True,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1316.0,1,False,False,True,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4535.0,1,False,False,False,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4428.0,1,False,False,False,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
